call_id,caller_number,receiver_number,call_start_time,call_end_time,call_duration,call_type,cell_tower_id,call_status,data_usage,call_date,call_hour,weekend_flag
5c1c9de1-46d6-4b79-984c-95daeb91904e,+1-622-679-5132x061,+1-998-470-1523,2025-01-23 23:07:23,2025-01-23 23:11:56,273,voice,TWR-19628,failed,0.0,2025-01-23,23,0
6d9b21ef-4a2f-4b58-a0cc-97b5e9d2ca3c,001-776-500-1283x2754,219.275.1044x73485,2025-01-17 14:25:06,2025-01-17 14:52:53,1667,voice,TWR-90324,completed,0.0,2025-01-17,14,0
a3466088-87e7-49a6-94eb-3464d3431707,984.277.5805x6960,237-256-8204,2025-02-10 03:17:03,2025-02-10 03:39:11,1328,voice,TWR-22004,completed,0.0,2025-02-10,3,0
388f6861-bb13-4a63-a225-cc899afe2e05,+1-888-335-3168x575,+1-276-582-9379x1168,2025-01-25 09:44:24,2025-01-25 10:10:13,1549,voice,TWR-12716,completed,0.0,2025-01-25,9,1
fcf58d4e-b127-490a-a0dd-3fd8ad3e9871,(472)454-1435x4291,413-430-7481,2025-04-30 00:50:07,2025-04-30 01:49:18,3551,voice,TWR-50380,completed,0.0,2025-04-30,0,0
05c01a27-e425-4455-a105-52abbdc0a394,+1-761-995-8526,(538)288-5853x8575,2025-04-21 08:03:56,2025-04-21 08:55:48,3112,voice,TWR-44946,completed,0.0,2025-04-21,8,0
5757c416-ebce-46f9-a8fd-91dee29ca0d0,2629212496,558.624.3090x81001,2025-04-21 00:24:46,2025-04-21 00:48:45,1439,voice,TWR-06605,completed,0.0,2025-04-21,0,0
47fe73fd-374e-4492-98da-616a3c337123,001-659-607-0842x337,989.518.0320x8145,2025-01-27 00:24:15,2025-01-27 01:05:28,2473,SMS,TWR-63141,completed,0.0,2025-01-27,0,0
8f317173-8f57-408c-b444-c5a584ed7ea3,525-411-4472,4184912712,2025-04-24 23:12:34,2025-04-24 23:28:59,985,voice,TWR-94810,completed,0.0,2025-04-24,23,0
bd556a1d-3a78-4a01-9216-bbbddfd825f4,(346)559-8948,416-568-5796x827,2025-04-25 23:05:42,2025-04-25 23:08:11,149,voice,TWR-49947,completed,0.0,2025-04-25,23,0
ba5eadb3-01d4-4a15-9adf-d59722f6c02c,(629)525-7522x41528,+1-241-336-2613,2025-02-03 07:26:37,2025-02-03 07:36:17,580,data,TWR-44854,completed,27.13975308352504,2025-02-03,7,0
fbe19223-965c-4b62-88f1-c26d3d3fe2de,(481)959-1818x3817,+1-491-260-9935x9275,2025-03-29 22:58:03,2025-03-29 23:42:37,2674,voice,TWR-05485,completed,0.0,2025-03-29,22,1
1cf713a7-a926-4c12-baca-c5fc958225fb,401-736-9656,+1-971-722-7453x869,2025-04-01 06:04:00,2025-04-01 06:07:19,199,SMS,TWR-49667,completed,0.0,2025-04-01,6,0
08a58cc3-d5ae-44d2-8eb8-0ac1d367f452,(347)310-8306,334-655-0664,2025-02-09 07:47:36,2025-02-09 08:19:49,1933,voice,TWR-89667,completed,0.0,2025-02-09,7,1
c66c5678-72d1-4db3-b16f-2188328bd11c,982-605-9774x074,988.332.7014,2025-05-03 14:43:44,2025-05-03 14:49:34,350,voice,TWR-35530,completed,0.0,2025-05-03,14,1
fcadde7c-4b48-46fc-9ec8-dfaf85152c88,539.377.2601,(473)394-2765x15067,2025-04-13 16:02:34,2025-04-13 16:48:03,2729,data,TWR-95370,completed,3.0068469132538027,2025-04-13,16,1
7db6b086-c3b9-433b-93ed-159db91a3c55,(287)695-2755,704.404.1174x041,2025-03-08 03:13:35,2025-03-08 03:51:15,2260,data,TWR-84762,completed,7.533144733066548,2025-03-08,3,1
bb6851b5-a254-46ed-8b79-657b4ea523ea,+1-396-372-7512x07758,+1-323-663-0860x972,2025-04-15 03:50:30,2025-04-15 04:08:30,1080,SMS,TWR-58674,completed,0.0,2025-04-15,3,0
2a33f8b9-44bc-464c-868e-50193b883f42,001-696-766-7111x69135,001-608-501-7607x8830,2025-03-03 06:24:33,2025-03-03 06:39:00,867,SMS,TWR-38811,completed,0.0,2025-03-03,6,0
c0194a07-5f80-4c17-b0ff-bcc35a0520b7,+1-864-810-6574x73771,(230)860-3269x549,2025-04-25 13:31:22,2025-04-25 14:27:14,3352,voice,TWR-08100,completed,0.0,2025-04-25,13,0
d5099d59-1116-497d-a107-074ad5e9401b,847.200.3301,001-750-618-6112x017,2025-03-18 21:00:06,2025-03-18 21:33:49,2023,voice,TWR-05291,completed,0.0,2025-03-18,21,0
8976d2e9-2cb5-4cab-8036-db14c564d2f4,(726)916-2364,773.789.5434x23511,2025-04-06 16:21:48,2025-04-06 16:29:49,481,voice,TWR-21755,completed,0.0,2025-04-06,16,1
d6bd5699-01ab-4270-a10d-7600ab58109e,266.599.5032,434-231-6513,2025-03-15 02:04:31,2025-03-15 02:38:31,2040,voice,TWR-79794,completed,0.0,2025-03-15,2,1
e96ba4d0-1926-4235-bfaf-5883d32783ff,566.610.6331x0979,205-745-5458x59100,2025-05-14 11:05:27,2025-05-14 11:41:48,2181,voice,TWR-43939,completed,0.0,2025-05-14,11,0
9cf04f86-71db-4bb5-ae77-fd16a660e3cb,456.566.1402,917-289-5325x6879,2025-05-09 03:07:50,2025-05-09 03:33:25,1535,voice,TWR-57479,completed,0.0,2025-05-09,3,0
035c3f54-1276-457c-bd9e-c658a3bbf1e5,413-709-5339,+1-829-496-5181,2025-02-15 09:25:01,2025-02-15 09:49:05,1444,voice,TWR-42349,completed,0.0,2025-02-15,9,1
0b31176d-ab3d-4f09-b807-aa54eaa5c475,001-954-860-5432x91684,914-634-3611,2025-05-21 15:08:59,2025-05-21 15:51:57,2578,SMS,TWR-16540,completed,0.0,2025-05-21,15,0
e5658e9c-6476-40d8-9284-908dab656509,+1-494-788-0366,5922421944,2025-01-22 22:45:22,2025-01-22 23:02:44,1042,voice,TWR-04797,completed,0.0,2025-01-22,22,0
6d2c124a-adf1-4158-8bc4-6c0b0cf8ca0b,001-327-455-8939x4706,001-369-605-0846x6041,2025-01-08 09:16:49,2025-01-08 09:35:09,1100,SMS,TWR-17037,completed,0.0,2025-01-08,9,0
